VisitorCookieID;2015-12-21;2015-12-22;2015-12-23;2015-12-24;2015-12-25;2015-12-26;2015-12-27;2015-12-28;2015-12-29;2015-12-30;2015-12-31;2016-01-01;2016-01-02;2016-01-03;2016-01-04;2016-01-05;2016-01-06;2016-01-07;2016-01-08;2016-01-09;2016-01-10;2016-01-11;2016-01-12;2016-01-13;2016-01-14;2016-01-15;2016-01-16;2016-01-17;2016-01-18;2016-01-19;2016-01-20;2016-01-21;2016-01-22;2016-01-23;2016-01-24;2016-01-25;2016-01-26;2016-01-27;2016-01-28;2016-01-29;2016-01-30
129618425;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
129669110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
1303171362;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1309067817;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1309201759;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;
1310015867;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1313765957;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1316561448;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1318862098;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1321506429;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
132182972;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;
1324039043;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;
1324754708;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1329711100;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;
1330658376;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;
1337845311;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
1339644608;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;
134113623;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
1344310915;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1345200798;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
1345313362;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
1345390000;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1346588702;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1351390534;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
1353636522;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;
1358888412;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1359361791;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
135958521;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1360420847;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
1367120661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
1367475789;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1369654822;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1369896533;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1370286102;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
1372013927;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1373214904;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1373885004;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378839541;;;;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1381391166;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
1381475487;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1381955458;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
1382239456;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1385467256;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1386584124;;;;;;;;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;;;;;;;
